provinsi,jenis,daerah,tahun,periode,gk,jenis_encoded,daerah_encoded,gk_scaled,cluster,PC1,PC2,gk_original
ACEH,NONMAKANAN,PERDESAAN,2015,MARET,84638.0,1,0,-1.4144378720162445,4,-1.3742015575037034,-0.9810550246774329,84638.0
ACEH,NONMAKANAN,PERDESAAN,2015,SEPTEMBER,87682.0,1,0,-1.3948322986958488,4,-1.35695586646673,-0.9806927434743762,87682.0
ACEH,NONMAKANAN,PERDESAAN,2016,MARET,88288.0,1,0,-1.3909292180676756,4,-1.353522591575664,-0.9806206204753446,88288.0
ACEH,NONMAKANAN,PERDESAAN,2016,SEPTEMBER,90972.0,1,0,-1.3736423065065908,4,-1.3383164697809082,-0.9803011846182474,90972.0
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,2015,MARET,93744.0,1,1,-1.3557886109598967,6,-1.2284600153518388,-0.007261509183231651,93744.0
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,2015,SEPTEMBER,96344.0,1,1,-1.3390427204759845,6,-1.213729793046934,-0.006952070573524982,96344.0
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,2016,MARET,98155.0,1,1,-1.3273785636812288,6,-1.203469626664556,-0.006736534680379269,98155.0
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,2016,SEPTEMBER,101217.0,1,1,-1.3076570572728676,6,-1.1861219571654718,-0.006372111210024678,101217.0
ACEH,NONMAKANAN,PERKOTAAN,2017,MARET,127858.0,1,2,-1.1360696463567506,1,-0.9410363965072586,0.9695083296769483,127858.00000000003
ACEH,NONMAKANAN,PERKOTAAN,2017,SEPTEMBER,132061.0,1,2,-1.1089992703167957,1,-0.917224425604368,0.9700085490910243,132061.0
ACEH,NONMAKANAN,PERKOTAAN,2018,MARET,134561.0,1,2,-1.0928974525438033,1,-0.9030607503111904,0.9703060862157421,134561.0
ACEH,NONMAKANAN,PERKOTAAN,2018,SEPTEMBER,136434.0,1,2,-1.0808339706682772,1,-0.8924493247815415,0.970529001029581,136434.0
ACEH,NONMAKANAN,PERDESAAN,2017,MARET,94463.0,1,0,-1.351157728168384,4,-1.3185383136015147,-0.9798857037772912,94463.00000000003
ACEH,NONMAKANAN,PERDESAAN,2017,SEPTEMBER,96799.0,1,0,-1.3361121896413,4,-1.3053037754075696,-0.9796076850879547,96799.0
ACEH,NONMAKANAN,PERDESAAN,2018,MARET,100825.0,1,0,-1.3101818222996728,4,-1.282494592715436,-0.9791285313023088,100825.0
ACEH,NONMAKANAN,PERDESAAN,2018,SEPTEMBER,104778.0,1,0,-1.284721628037017,4,-1.2600989893418633,-0.9786580656007048,104778.0
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,2017,MARET,104496.0,1,1,-1.2865379130818106,6,-1.1675448806509399,-0.005981861517244558,104496.0
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,2017,SEPTEMBER,107572.0,1,1,-1.2667262364939207,6,-1.150117894570214,-0.0056157718389916456,107572.0
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,2018,MARET,111335.0,1,1,-1.2424897803820125,6,-1.1287987305189229,-0.005167918958866147,111335.0
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,2018,SEPTEMBER,114830.0,1,1,-1.219979439135369,6,-1.1089979124590603,-0.004751962058510362,114830.0
ACEH,NONMAKANAN,PERKOTAAN,2019,MARET,137577.0,1,2,-1.073472219582465,1,-0.8859736924375007,0.970665035003002,137577.0
ACEH,NONMAKANAN,PERKOTAAN,2019,SEPTEMBER,140281.0,1,2,-1.0560564934791965,1,-0.8706542612403996,0.970986851157097,140281.0
ACEH,NONMAKANAN,PERKOTAAN,2020,MARET,143425.0,1,2,-1.0358068474478812,1,-0.8528420231916993,0.9713610338451423,143425.0
ACEH,NONMAKANAN,PERKOTAAN,2020,SEPTEMBER,144182.0,1,2,-1.030931217026219,1,-0.848553262312925,0.9714511280865069,144182.0
ACEH,NONMAKANAN,PERDESAAN,2019,MARET,106943.0,1,0,-1.2707774538456056,4,-1.2478332465379713,-0.978400398450699,106943.0
ACEH,NONMAKANAN,PERDESAAN,2019,SEPTEMBER,110248.0,1,0,-1.2494908507497096,4,-1.2291088678003903,-0.9780070543718218,110248.0
ACEH,NONMAKANAN,PERDESAAN,2020,MARET,116270.0,1,0,-1.2107047920981253,4,-1.1949914067541836,-0.9772903469458012,116270.0
ACEH,NONMAKANAN,PERDESAAN,2020,SEPTEMBER,116847.0,1,0,-1.2069884925561187,4,-1.1917224304965184,-0.9772216753774163,116847.0
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,2019,MARET,116842.0,1,1,-1.2070206961916647,6,-1.0975989865831108,-0.00451250418053728,116842.0
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,2019,SEPTEMBER,120033.0,1,1,-1.1864683359862171,6,-1.0795204714388988,-0.0041327277945472085,120033.0
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,2020,MARET,125093.0,1,1,-1.1538782568136803,6,-1.050853192645507,-0.0035305126541180787,125093.0
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,2020,SEPTEMBER,125892.0,1,1,-1.148732115853432,6,-1.0463264820218074,-0.0034354197890581473,125891.99999999997
ACEH,NONMAKANAN,PERKOTAAN,2021,MARET,147729.0,1,2,-1.0080859579698973,1,-0.8284578398069644,0.9718732737590569,147729.0
ACEH,NONMAKANAN,PERKOTAAN,2021,SEPTEMBER,151144.0,1,2,-0.9860908748919897,1,-0.8091102593564836,0.9722797094714216,151144.0
ACEH,NONMAKANAN,PERKOTAAN,2022,MARET,157867.0,1,2,-0.9427898665368583,1,-0.77102130375807,0.9730798463072131,157867.0
ACEH,NONMAKANAN,PERKOTAAN,2022,SEPTEMBER,164956.0,1,2,-0.8971315520597608,1,-0.730858786096735,0.9739235425780636,164956.0
ACEH,NONMAKANAN,PERDESAAN,2021,MARET,122118.0,1,0,-1.1730394199635414,4,-1.1618597375083821,-0.9765943481036609,122118.0
ACEH,NONMAKANAN,PERDESAAN,2021,SEPTEMBER,126262.0,1,0,-1.146349046823029,4,-1.1383820293424107,-0.9761011505657283,126262.0
ACEH,NONMAKANAN,PERDESAAN,2022,MARET,131658.0,1,0,-1.1115948833418021,4,-1.107811152589616,-0.975458946435737,131658.0
ACEH,NONMAKANAN,PERDESAAN,2022,SEPTEMBER,140763.0,1,0,-1.0529520630125635,4,-1.0562270471718624,-0.9743753162275142,140763.0
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,2021,MARET,130689.0,1,1,-1.117835947910614,6,-1.0191492218692577,-0.002864505554149299,130689.0
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,2021,SEPTEMBER,134643.0,1,1,-1.0923693129208492,6,-0.996747953025568,-0.002393920837695407,134643.0
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,2022,MARET,140570.0,1,1,-1.0541951233446385,6,-0.963168711640502,-0.0016885198224140252,140570.0
ACEH,NONMAKANAN,PERDESAANPERKOTAAN,2022,SEPTEMBER,149038.0,1,1,-0.9996550461839585,6,-0.9151935106874504,-0.0006807020735691838,149038.0
ACEH,TOTAL,PERKOTAAN,2013,MARET,359217.0,2,2,0.35405053689995525,5,0.8359644592327374,0.7657552324981584,359217.0
ACEH,TOTAL,PERKOTAAN,2013,SEPTEMBER,374261.0,2,2,0.45094483553071474,5,0.9211957916769641,0.7675456918998614,374261.0
ACEH,TOTAL,PERKOTAAN,2014,MARET,383186.0,2,2,0.5084283249802979,5,0.9717601124736087,0.7686078994351045,383186.0
ACEH,TOTAL,PERKOTAAN,2014,SEPTEMBER,396939.0,2,2,0.597007644913084,5,1.049677322996438,0.7702447106656031,396939.0
